"id","available_since","inserted_at","expiry_month","expiry_year","masked_number","creditcard_identifier","schema_version"
"1","2025-01-22 00:25:27.612965","2025-01-22 00:25:27.612965","12","1969","30473257263635","28d9abb3-0ce5-415e-b179-3aef91d9aaab","1"
"2","2025-01-18 16:23:55.876961","2025-01-18 16:23:55.876961","12","1969","4618391378453392","a4050d78-a224-4269-9377-5b7fa39d4c4e","1"
"3","2025-01-20 11:23:23.517449","2025-01-20 11:23:23.517449","12","1969","2720988758344312","ba65d7ff-769c-441a-bce6-3a9daae1a7a7","1"
"4","2025-01-17 03:11:17.633718","2025-01-17 03:11:17.633718","12","1969","2706558801011685","7cde9b77-ba58-4779-b435-3a22733a363a","1"
"5","2025-01-06 10:56:51.945303","2025-01-06 10:56:51.945303","12","1969","6572443599768840","49fcd71b-fc5b-471c-bfb9-4d7aa36d8bcd","1"
"6","2025-01-08 22:58:37.026080","2025-01-08 22:58:37.026080","12","1969","213150129145484","3161e788-7ff1-40f4-b347-19df60991085","1"
"7","2025-01-11 19:23:30.374756","2025-01-11 19:23:30.374756","12","1969","4384789242990154394","c41a74d9-d92d-4e3a-bdd0-37920e39f4d9","1"
"8","2025-01-19 14:19:45.260024","2025-01-19 14:19:45.260024","12","1969","3526031735444410","373a35f2-4f49-4af8-b924-43e7e9ad0528","1"
"9","2025-01-12 05:13:52.523060","2025-01-12 05:13:52.523060","12","1969","213136587340980","b34c264d-27c0-43e0-a667-eb8cd3db7130","1"
"10","2025-01-06 20:51:35.193618","2025-01-06 20:51:35.193618","12","1969","675965227894","cdad804d-4a44-48d1-9ebc-3d861abb4d02","1"
"11","2025-01-18 06:07:29.523943","2025-01-18 06:07:29.523943","12","1969","675968277003","639b2d04-050e-4bb0-9cf7-6aa35711699d","1"
"12","2025-01-03 06:53:29.877500","2025-01-03 06:53:29.877500","12","1969","502051794829","ffaed068-9199-48ec-8c87-6f7fdab04ec1","1"
"13","2025-01-10 16:16:46.625628","2025-01-10 16:16:46.625628","12","1969","4987433098145404","8fac8663-d50a-4250-b6b1-5338bbabdc44","1"
"14","2025-01-14 10:34:13.998480","2025-01-14 10:34:13.998480","12","1969","4054764280080","93ada172-0dc8-4dee-b151-cd1cc23c16da","1"
"15","2025-01-04 22:36:32.234254","2025-01-04 22:36:32.234254","12","1969","4796992354554","41e039a4-73f0-415b-a4c4-1fbef0fd4c14","1"
"16","2025-01-15 03:31:46.885310","2025-01-15 03:31:46.885310","12","1969","4810225923002861177","f0cc1cd0-a513-4ad4-991f-a7d54cf0ca5c","1"
"17","2025-01-08 03:19:27.627276","2025-01-08 03:19:27.627276","12","1969","4753242640063177","648e5b92-9e07-4a30-87e2-459dc471bf3a","1"
"18","2025-01-12 06:02:04.294527","2025-01-12 06:02:04.294527","12","1969","4553399005093","9227dffe-2461-4205-bf0e-aa5513b50877","1"
"19","2025-01-02 22:51:58.597511","2025-01-02 22:51:58.597511","12","1969","4019100288786980","383cde7f-f67d-4651-9134-f07ef5783c7d","1"
"20","2025-01-02 18:01:13.375786","2025-01-02 18:01:13.375786","12","1969","4686450524402450","5b1bdcf3-75f5-4684-85b4-461a8db0c7b1","1"
"21","2025-01-17 20:57:07.309448","2025-01-17 20:57:07.309448","12","1969","4752097146367766","3f8441ab-2725-48a0-a538-2da5befefe6e","1"
"22","2025-01-20 12:00:46.813225","2025-01-20 12:00:46.813225","12","1969","36604378888223","96505ab3-85f2-4f70-8351-54b576ba49a6","1"
"23","2025-01-16 14:13:44.990746","2025-01-16 14:13:44.990746","12","1969","4992376623590003","fcb29f08-09a6-429a-b807-3f50e2effa45","1"
"24","2025-01-08 14:55:10.209704","2025-01-08 14:55:10.209704","12","1969","3515933326940099","37d35690-9f9d-40b8-9b46-5e1c87ce05b2","1"
"25","2025-01-11 15:36:24.194401","2025-01-11 15:36:24.194401","12","1969","5496081687307439","8e544866-2ef2-4323-98f6-55ebc31dcc09","1"
"26","2025-01-13 09:12:59.402885","2025-01-13 09:12:59.402885","12","1969","4097195630746","2e5be30f-fa63-4607-8bd3-f9c9e7cd9bdb","1"
"27","2025-01-21 10:44:44.344851","2025-01-21 10:44:44.344851","12","1969","38749853190500","a17b74b5-aaed-4cb9-be5a-61f79a0667b4","1"
"28","2025-01-14 14:59:28.834408","2025-01-14 14:59:28.834408","12","1969","4037083707222548","8d4846b1-0aef-4642-b5e8-c1a89086fc19","1"
"29","2025-01-02 14:52:30.770734","2025-01-02 14:52:30.770734","12","1969","3555666098886832","91d98a12-471b-4af0-843c-22fbd16716bc","1"
"30","2025-01-03 22:41:18.759167","2025-01-03 22:41:18.759167","12","1969","6011877839869372","dab6be34-8c39-45a2-ae22-4bf28cb2caf7","1"
"31","2025-01-14 12:04:54.396423","2025-01-14 12:04:54.396423","12","1969","4587685317630","d646e7ae-a3f6-413f-8f66-31133a52e1e5","1"
"32","2025-01-20 09:12:28.551669","2025-01-20 09:12:28.551669","12","1969","4854926893757610410","beab2783-6963-4c39-9e47-b30c3e24e36d","1"
"33","2025-01-15 08:59:05.922395","2025-01-15 08:59:05.922395","12","1969","5285834235152193","9dae158c-f68b-4fe2-b389-9bfd9525d3a5","1"
"34","2025-01-12 23:50:01.530351","2025-01-12 23:50:01.530351","12","1969","676256298164","46e3160f-c094-4927-96a0-1caea6825469","1"
"35","2025-01-17 21:20:12.651390","2025-01-17 21:20:12.651390","12","1969","377996048566503","d46021e6-2ce7-49b4-a50f-262c66a3b39f","1"
