"id","available_since","inserted_at","email","domain","handle","schema_version"
"1","2025-01-09 17:31:39.932873","2025-01-09 17:31:39.932873","princecarlos@example.com","example.com","princecarlos","1"
"2","2025-01-14 01:47:34.830111","2025-01-14 01:47:34.830111","chad68@example.org","example.org","chad68","1"
"3","2025-01-19 19:35:21.953583","2025-01-19 19:35:21.953583","melissa41@example.org","example.org","melissa41","1"
"4","2025-01-05 06:23:34.313127","2025-01-05 06:23:34.313127","ihernandez@example.org","example.org","ihernandez","1"
"5","2025-01-01 04:49:40.616427","2025-01-01 04:49:40.616427","kerrdiana@example.com","example.com","kerrdiana","1"
"6","2025-01-12 18:08:21.633358","2025-01-12 18:08:21.633358","mbrown@example.com","example.com","mbrown","1"
"7","2025-01-12 18:27:52.818954","2025-01-12 18:27:52.818954","gracejohnson@example.com","example.com","gracejohnson","1"
"8","2025-01-01 22:56:20.792055","2025-01-01 22:56:20.792055","cheyennecarr@example.org","example.org","cheyennecarr","1"
"9","2025-01-09 17:14:29.884461","2025-01-09 17:14:29.884461","qwilliams@example.org","example.org","qwilliams","1"
"10","2025-01-15 16:38:06.832968","2025-01-15 16:38:06.832968","laura19@example.net","example.net","laura19","1"
"11","2025-01-21 13:36:34.722971","2025-01-21 13:36:34.722971","randall77@example.com","example.com","randall77","1"
"12","2025-01-03 14:59:51.112832","2025-01-03 14:59:51.112832","cherylharris@example.com","example.com","cherylharris","1"
"13","2025-01-05 21:09:43.605591","2025-01-05 21:09:43.605591","jamiebranch@example.org","example.org","jamiebranch","1"
"14","2025-01-11 04:36:54.936050","2025-01-11 04:36:54.936050","rterry@example.org","example.org","rterry","1"
"15","2025-01-04 10:25:41.566977","2025-01-04 10:25:41.566977","pallen@example.net","example.net","pallen","1"
"16","2025-01-06 17:36:24.650144","2025-01-06 17:36:24.650144","gweber@example.org","example.org","gweber","1"
"17","2025-01-11 03:07:04.275708","2025-01-11 03:07:04.275708","chenchristopher@example.com","example.com","chenchristopher","1"
"18","2025-01-10 02:54:04.759227","2025-01-10 02:54:04.759227","craig28@example.net","example.net","craig28","1"
"19","2025-01-08 10:24:19.157632","2025-01-08 10:24:19.157632","pmathis@example.org","example.org","pmathis","1"
"20","2025-01-10 16:55:57.249615","2025-01-10 16:55:57.249615","michelle58@example.org","example.org","michelle58","1"
"21","2025-01-02 11:08:00.073754","2025-01-02 11:08:00.073754","sherri52@example.net","example.net","sherri52","1"
"22","2025-01-14 03:21:07.721553","2025-01-14 03:21:07.721553","kramerhaley@example.net","example.net","kramerhaley","1"
"23","2025-01-15 10:34:18.834902","2025-01-15 10:34:18.834902","robin85@example.org","example.org","robin85","1"
"24","2025-01-14 21:48:58.423336","2025-01-14 21:48:58.423336","paul94@example.com","example.com","paul94","1"
"25","2025-01-05 19:27:28.264881","2025-01-05 19:27:28.264881","bjoyce@example.net","example.net","bjoyce","1"
